No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
1278	Lithium oxide	Li2O	12057-24-8	29.881	wh cub cry	1570		2.013			
1279	Lithium perchlorate	LiClO4	7791-03-9	106.392	wh orth cry or powder	236	430 dec	2.428	58.725	s EtOH, ace, eth	
1280	Lithium peroxide	Li2O2	12031-80-0	45.881	wh hex cry			2.31		s H2O; i EtOH	
1281	Lithium selenate monohydrate	Li2SeO4  H2O	7790-71-8	174.86	monocl cry			2.56		vs H2O	
1282	Lithium metasilicate	Li2SiO3	10102-24-6	89.966	wh orth needles	1201		2.52		i cold H 2O; reac dil acid	
1283	Lithium sulfate	Li2SO4	10377-48-7	109.946	wh monocl cry; hyg	859		2.21	34.225		
1284	Lithium sulfate monohydrate	Li2SO4  H2O	10102-25-7	127.961	col cry	130 dec		2.06	34.225	sl EtOH	
1285	Lithium sulfide	Li2S	12136-58-2	45.948	wh cub cry; hyg	1372		1.64			
1286	Lithium thiocyanate	LiSCN	556-65-0	65.025	wh hyg cry				12025		
1287	Lutetium	Lu	7439-94-3	174.967	silv metal; hex	1663	3402	9.84		s dil acid	
1288	Lutetium boride	LuB4	12688-52-7	218.211	tetr cry	2600		7.0			
1289	Lutetium bromide	LuBr3	14456-53-2	414.679	wh hyg cry	1025				vs H2O	
1290	Lutetium chloride	LuCl3	10099-66-8	281.325	wh monocl cry; hyg	925		3.98		s H2O	
1291	Lutetium fluoride	LuF3	13760-81-1	231.962	orth cry	1182	2200	8.3		i H2O	
1292	Lutetium iodide	LuI3	13813-45-1	555.68	brn hex cry; hyg	1050		5.6		vs H2O	
1293	Lutetium nitride	LuN	12125-25-6	188.974	cub cry			11.6			
1294	Lutetium oxide	Lu2O3	12032-20-1	397.932	wh cub cry or powder	2427	3980	9.41			
											
1295	Lutetium sulfate octahydrate	Lu2(SO4)3  8H2O	13473-77-3	782.247	wh cry					vs H2O	
1296	Lutetium sulfide	Lu2S3	12163-20-1	446.132	gray rhomb cry	1750 dec		6.26			
1297	Lutetium telluride	Lu2Te3	12163-22-3	732.73	orth cry			7.8			
1298	Magnesium	Mg	7439-95-4	24.305	silv-wh metal	650	1090	1.74		s dil acid	
1299	Magnesium acetate	Mg(C2H3O2)2	142-72-3	142.394	wh orth/mcl cry	323 dec		1.5	65.625		
1300	Magnesium acetate tetrahydrate	Mg(C2H3O2)2  4H2O	16674-78-5	214.454	col monocl cry; hyg	80 dec		1.45	65.625	vs EtOH	
1301	Magnesium amide	Mg(NH2)2	7803-54-5	56.35	wh powder; flam	dec		1.39		reac H2O	
1302	Magnesium antimonide	Mg3Sb2	12057-75-9	316.435	hex cry	1245		3.99			
1303	Magnesium boride	MgB2	12007-25-9	45.927	hex cry	800 dec		2.57			
1304	Magnesium bromate hexahydrate	Mg(BrO3)2  6H2O	7789-36-8	388.201	col cub cry	200 dec		2.29	9825		
1305	Magnesium bromide	MgBr2	7789-48-2	184.113	wh hex cry; hyg	711		3.72	10225		
1306	Magnesium bromide hexahydrate	MgBr2  6H2O	13446-53-2	292.204	col monocl cry	165 dec		2	10225	s EtOH	
1307	Magnesium carbonate	MgCO3	546-93-0	84.314	wh hex cry	990		3.05	0.182	i EtOH; s acid	
1308	Magnesium chlorate hexahydrate	Mg(ClO3)2  6H2O	13446-19-0	299.298	wh hyg cry	35 dec		1.8	14225	sl EtOH	
1309	Magnesium chloride	MgCl2	7786-30-3	95.21	wh hex leaflets; hyg	714	1412	2.325	56.025		
1310	Magnesium chloride hexahydrate	MgCl2  6H2O	7791-18-6	203.301	wh hyg cry	100 dec		1.56	56.025	s EtOH	
1311	Magnesium chromate heptahydrate	MgCrO4  7H2O	13423-61-5*	266.405	yel rhom cry			1.695	54.825		
1312	Magnesium fluoride	MgF2	7783-40-6	62.302	wh tetr cry	1263	2227	3.148	0.01325		
1313	Magnesium formate dihydrate	Mg(CHO2)2  2H2O	6150-82-9	150.37	wh cry	dec				s H2O; i EtOH	
1314	Magnesium germanide	Mg2Ge	1310-52-7	121.22	cub cry	1117		3.09			
1315	Magnesium hydride	MgH2	7693-27-8	26.321	wh tetr cry	327		1.45		reac H2O	
1316	Magnesium hydrogen phosphate trihydrate	MgHPO4  3H2O	7757-86-0	174.331	wh powder	550 dec		2.13		sl H2O; s dil acid	
1317	Magnesium hydroxide	Mg(OH)2	1309-42-8	58.32	wh hex cry	350		2.37	0.000692	s dil acid	
1318	Magnesium iodate tetrahydrate	Mg(IO3)2  4H2O	7790-32-1*	446.172	col mono cry	210 dec		3.3	11.125		
1319	Magnesium iodide	MgI2	10377-58-9	278.114	wh hex cry; hyg	634		4.43	14625		
1320	Magnesium iodide octahydrate	MgI2  8H2O	7790-31-0	422.236	wh orth cry; hyg	41 dec		2.1	14625	s EtOH	
1321	Magnesium nitrate	Mg(NO3)2	10377-60-3	148.314	wh cub cry			2.3	71.225		
1322	Magnesium nitrate dihydrate	Mg(NO3)2  2H2O	15750-45-5	184.345	wh cry	100 dec		1.45	71.225	s EtOH	
1323	Magnesium nitrate hexahydrate	Mg(NO3)2  6H2O	13446-18-9	256.406	col monocl cry; hyg	95 dec		1.46	71.225	s EtOH	
1324	Magnesium nitride	Mg3N2	12057-71-5	100.928	yel cub cry	1500 dec		2.71			
1325	Magnesium nitrite trihydrate	Mg(NO2)2  3H2O	15070-34-5	170.362	wh hyg prisms	100 dec			129.925	s EtOH	
1326	Magnesium oxalate	MgC2O4	547-66-0	112.324	wh pdw				0.03825		
1327	Magnesium oxalate dihydrate	MgC2O4  2H2O	6150-88-5	148.354	wh powder				0.03825	i EtOH; s dil acid	
1328	Magnesium oxide	MgO	1309-48-4	40.304	wh cub cry	2825	3600	3.6		sl H2O; i EtOH	
1329	Magnesium perchlorate	Mg(ClO4)2	10034-81-8	223.205	wh hyg powder	250 dec		2.2	10025		
1330	Magnesium perchlorate hexahydrate	Mg(ClO4)2  6H2O	13446-19-0	331.297	wh hyg cry	190 dec		1.98	10025	s EtOH	
1331	Magnesium permanganate hexahydrate	Mg(MnO4)2  6H2O	10377-62-5	370.268	blue-blk cry	dec		2.18		s H2O	
1332	Magnesium peroxide	MgO2	1335-26-8	56.304	wh cub cry	100 dec		3.0		i H2O; s dil acid	
1333	Magnesium phosphate pentahydrate	Mg3(PO4)2  5H2O	7757-87-1*	352.934	wh cry	400 dec			0.000092	s dil acid	
1334	Magnesium phosphate octahydrate	Mg3(PO4)2  8H2O	13446-23-6	406.98	wh monocl cry			2.17	0.000092	s acid	
1335	Magnesium pyrophosphate trihydrate	Mg2P2O7  3H2O	10102-34-8	276.6	wh powder	100 dec		2.56		i H2O; s acid	
1336	Magnesium phosphide	Mg3P2	12057-74-8	134.863	yel cub cry			2.06		reac H2O	
1337	Magnesium selenate hexahydrate	MgSeO4  6H2O	13446-28-1	275.35	wh monocl cry			1.928	55.525		
1338	Magnesium selenide	MgSe	1313-04-8	103.27	brn cub cry			4.2		reac H2O	
1339	Magnesium selenite hexahydrate	MgSeO3  6H2O	15593-61-0	259.36	col hex cry			2.09		i H2O; s dil acid	
1340	Magnesium metasilicate	MgSiO3	13776-74-4	100.389	wh monocl cry	1550 dec		3.19		i H2O; sl HF	
1341	Magnesium orthosilicate	Mg2SiO4	26686-77-1	140.694	wh orth cry	1897		3.21		i H2O	
1342	Magnesium trisilicate	Mg2Si3O8	14987-04-3	260.862	wh pow					i H2O, EtOH	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
1343	Magnesium hexafluorosilicate hexahydrate	MgSiF6  6H2O	60950-56-3	274.472	wh cry	120 dec		1.79	39.318	i EtOH	
1344	Magnesium silicide	Mg2Si	22831-39-6	76.696	gray cub cry	1102		1.99		reac H2O	
1345	Magnesium stannide	Mg2Sn	1313-08-2	167.32	blue cub cry	771		3.6		s H2O, dil HCl	
1346	Magnesium sulfate	MgSO4	7487-88-9	120.369	col orth cry	1127		2.66	35.725		
1347	Magnesium sulfate monohydrate	MgSO4  H2O	14168-73-1	138.384	col monocl cry	150 dec		2.57	35.725		
1348	Magnesium sulfate heptahydrate	MgSO4  7H2O	10034-99-8	246.475	col orth cry	150 dec		1.67	35.725	sl EtOH	
1349	Magnesium sulfide	MgS	12032-36-9	56.371	red-brn cub cry	2226		2.68		reac H2O	
1350	Magnesium sulfite trihydrate	MgSO3  3H2O	19086-20-5	158.415	col orth cry			2.12	0.7925		
1351	Magnesium sulfite hexahydrate	MgSO3  6H2O	13446-29-2	212.461	wh hex cry	200 dec		1.72	0.7925	i EtOH	
1352	Magnesium thiosulfate hexahydrate	MgS2O3  6H2O	13446-30-5	244.527	col cry	170 dec		1.82	9325	i EtOH	
1353	Magnesium titanate	MgTiO3	1312-99-8	120.17	col hex cry	1565		3.85			
1354	Magnesium tungstate	MgWO4	13573-11-0	272.14	wh monocl cry			6.89	0.0162	i EtOH	
1355	Manganese	Mn	7439-96-5	54.938	hard gray metal	1246	2061	7.3		s dil acids	
1356	Manganese antimonide	MnSb	12032-82-5	176.698	hex cry	840		6.9			
1357	Manganese antimonide	Mn2Sb	12032-97-2	231.636	tetr cry	948		7			
1358	Manganese boride	MnB	12045-15-7	65.749	orth cry	1890		6.45			
1359	Manganese boride	MnB2	12228-50-1	76.56	hex cry	1827		5.3			
1360	Manganese boride	Mn2B	12045-16-8	120.687	red-brn tetr cry	1580		7.2			
1361	Manganese carbide	Mn3C	12266-65-8	176.825	refrac solid	1520		6.89			
1362	Manganese carbonyl	Mn2(CO)10	10170-69-1	389.977	yel monocl cry	154		1.75		i H2O; s os	
1363	Manganese phosphide	MnP	12032-78-9	85.912	orth cry	1147		5.49			
1364	Manganese phosphide	Mn2P	12333-54-9	140.85	hex cry	1327		6			
1365	Manganese(II) acetate tetrahydrate	Mn(C2H3O2)2  4H2O	6156-78-1	245.087	red monocl cry	80		1.59		s H2O, EtOH	
1366	Manganese(II) tetraborate octahydrate	MnB4O7  8H2O	12228-91-0	354.3	red solid					i H2O, EtOH; s dil acid	
1367	Manganese(II) bromide	MnBr2	13446-03-2	214.746	pink hex cry	698		4.385	15125		
1368	Manganese(II) bromide tetrahydrate	MnBr2  4H2O	10031-20-6	286.808	red hyg cry	64 dec			15125		
1369	Manganese(II) carbonate	MnCO3	598-62-9	114.947	pink hex cry	>200 dec		3.7	0.000082	s dil acid	
1370	Manganese(II) chloride	MnCl2	7773-01-5	125.843	pink trig cry; hyg	650	1190	2.977	77.325	s py, EtOH; i eth	
1371	Manganese(II) chloride tetrahydrate	MnCl2  4H2O	13446-34-9	197.905	red monocl cry; hyg	87.5		1.913	77.325	s EtOH; i eth	
1372	"Manganese(II) dihydrogen phosphate
dihydrate"	Mn(H2PO4)2  2H2O	18718-07-5	284.944	col hyg cry					s H2O; i EtOH	
1373	Manganese(II) fluoride	MnF2	7782-64-1	92.935	red tetr cry	930		3.98	1.0225	i EtOH	
1374	Manganese(II) hydroxide	Mn(OH)2	18933-05-6	88.953	pink hex cry	dec		3.26	0.000342		
1375	Manganese(II) iodide	MnI2	7790-33-2	308.747	wh hex cry; hyg	638		5.04		s H2O, EtOH	
1376	Manganese(II) iodide tetrahydrate	MnI2  4H2O	7790-33-2*	380.809	red cry					vs H2O; s EtOH	
1377	Manganese(II) molybdate	MnMoO4	14013-15-1	214.88	yel monocl cry			4.05			
1378	Manganese(II) nitrate	Mn(NO3)2	10377-93-2	178.948	col orth cry; hyg			2.2	16125	s diox, thf	
1379	Manganese(II) nitrate hexahydrate	Mn(NO3)2  6H2O	10377-66-9	287.04	rose monocl cry	28 dec		1.8	16125	vs EtOH	
1380	Manganese(II) nitrate tetrahydrate	Mn(NO3)2  4H2O	20694-39-7	251.01	pink hyg cry	37.1 dec		2.13	16125	s EtOH	
1381	Manganese(II) oxalate dihydrate	MnC2O4  2H2O	6556-16-7	178.987	wh cry powder	150 dec		2.45	0.0322	s acid	
1382	Manganese(II) oxide	MnO	1344-43-0	70.937	gr cub cry or powder	1839		5.37		i H2O; s acid	
1383	Manganese(II) perchlorate hexahydrate	Mn(ClO4)2  6H2O	15364-94-0	361.93	pink hex cry			2.1			
1384	Manganese(II) pyrophosphate	Mn2P2O7	53731-35-4	283.819	wh monocl cry	1196		3.71		i H2O	
1385	Manganese(II) metasilicate	MnSiO3	7759-00-4	131.022	red orth cry	1291		3.48		i H2O	
1386	Manganese(II) orthosilicate	Mn2SiO4	13568-32-6	201.96	orth cry			4.11		i H2O	
1387	Manganese(II) selenide	MnSe	1313-22-0	133.9	gray cub cry	1460		5.45		i H2O	
											
1388	Manganese(II) sulfate	MnSO4	7785-87-7	151.002	wh orth cry	700	850 dec	3.25	63.725		
1389	Manganese(II) sulfate monohydrate	MnSO4  H2O	10034-96-5	169.017	red monocl cry			2.95	63.725	i EtOH	
1390	Manganese(II) sulfate tetrahydrate	MnSO4  4H2O	10101-68-5	223.063	red monocl cry	38 dec		2.26	63.725	i EtOH	
1391	Manganese(II) sulfide ( form)	MnS	18820-29-6	87.004	grn cub cry	1610		4		i H2O; s dil acid	
1392	Manganese(II) sulfide ( form)	MnS	18820-29-6	87.004	red cub cry			3.3		i H2O; s dil acid	
1393	Manganese(II) sulfide ( form)	MnS	18820-29-6	87.004	red hex cry			3.3		i H2O; s dil acid	
1394	Manganese(II) telluride	MnTe	12032-88-1	182.54	hex cry	1150		6			
1395	Manganese(II) titanate	MnTiO3	12032-74-5	150.803	red hex cry	1360		4.55			
1396	Manganese(II) tungstate	MnWO4	13918-22-4	302.78	wh monocl cry			7.2	0.00542		
1397	Manganese(II,III) oxide	Mn3O4	1317-35-7	228.812	brn tetr cry	1567		4.84		i H2O; s HCl	
1398	Manganese(III) fluoride	MnF3	7783-53-1	111.933	red monocl cry; hyg	>600 dec		3.54		reac H2O	
1399	Manganese(III) hydroxide	MnO(OH)	1332-63-4	87.945	blk monocl cry	250 dec		4.3		i H2O	
1400	Manganese(III) oxide	Mn2O3	1317-34-6	157.874	blk cub cry	1080 dec		5.0		i H2O	
1401	Manganese(IV) oxide	MnO2	1313-13-9	86.937	blk tetr cry	535 dec		5.08		i H2O, HNO3	
1402	Manganese(VII) oxide	Mn2O7	12057-92-0	221.872	grn oil; exp	5.9	95 exp	2.4		vs H2O	
1403	Mendelevium	Md	7440-11-1	258	Metal	827					
1404	Mercury	Hg	7439-97-6	200.59	heavy silv liq	-38.837 tp	356.62	13.5336		i H2O	
1405	Mercury(I) acetate	Hg2(C2H3O2)2	631-60-7	519.27	col scales	dec				sl H2O; i EtOH, eth	
1406	Mercury(I) bromate	Hg2(BrO3)2	13465-33-3	656.98	col cry	dec				i H2O; sl acid	
1407	Mercury(I) bromide	Hg2Br2	15385-58-7	560.99	wh tetr cry or powder	407		7.307		i H2O, EtOH, eth	
1408	Mercury(I) carbonate	Hg2CO3	6824-78-8	461.19	yel-brn cry	130 dec			0.0000045	i EtOH	
1409	Mercury(I) chlorate	Hg2(ClO3)2	10294-44-7	568.08	wh rhom cry	250 dec		6.409		sl H2O; s EtOH	
1410	Mercury(I) chloride	Hg2Cl2	10112-91-1	472.09	wh tetr cry	525 tp	383 sp	7.16	0.000425	i EtOH, eth	
1411	Mercury(I) fluoride	Hg2F2	13967-25-4	439.18	yel cub cry	570 dec	subl	8.73		reac H2O	
1412	Mercury(I) iodide	Hg2I2	15385-57-6	654.99	yel amorp powder	290		7.7		i H2O, EtOH, eth	
1413	Mercury(I) nitrate	Hg2(NO3)2	10415-75-5	525.19	cry					sl H2O	
1414	Mercury(I) nitrate dihydrate	Hg2(NO3)2  2H2O	7782-86-7	561.22	col cry	70 dec		4.8		sl H2O	
1415	Mercury(I) nitrite	Hg2(NO2)2	13492-25-6	493.19	yel cry	100 dec		7.3		reac H2O	
1416	Mercury(I) oxalate	Hg2C2O4	2949-11-3	489.2	cry					i H2O; sl HNO3	
1417	Mercury(I) oxide	Hg2O	15829-53-5	417.18	prob mixture of HgO+Hg	100 dec		9.8		i H2O; s HNO3	
1418	Mercury(I) perchlorate tetrahydrate	Hg2(ClO4)2  4H2O	65202-12-2	672.14	cry	64			44225		
1419	Mercury(I) sulfate	Hg2SO4	7783-36-0	497.24	wh-yel cry powder			7.56	0.05125	s dil HNO3	
1420	Mercury(I) thiocyanate	Hg2(SCN)2		517.35	col pow	dec			0.0325	s HCl, KCNS	
1421	Mercury(I) tungstate	Hg2WO4	38705-19-0	649.02	yel amorp solid	dec				i H2O, EtOH	
1422	Mercury(II) acetate	Hg(C2H3O2)2	1600-27-7	318.68	wh-yel cry or powder	179 dec		3.28	2510	s EtOH	
1423	Mercury(II) amide chloride	Hg(NH2)Cl	10124-48-8	252.07	wh solid		subl	5.38		i H2O, EtOH; s warm acid	
1424	Mercury(II) bromate	Hg(BrO3)2	26522-91-8	456.39	cry	130 dec			0.15	s acid	
1425	Mercury(II) bromide	HgBr2	7789-47-1	360.4	wh rhomb cry or powder	236	322	6.05	0.6125	sl chl; s EtOH, MeOH	
1426	Mercury(II) chlorate	Hg(ClO3)2		367.49	wh needles	dec		4.998	25		
1427	Mercury(II) chloride	HgCl2	7487-94-7	271.5	wh orth cry	276	304	5.6	7.3125	sl bz; s EtOH, MeOH, ace, eth	
1428	Mercury(II) chromate	HgCrO4	13444-75-2	316.58	red monocl cry			6.06		sl H2O	
1429	Mercury(II) cyanide	Hg(CN)2	592-04-1	252.62	col tetr cry	320 dec		4	11.425	s EtOH; sl eth	
1430	Mercury(II) dichromate	HgCr2O7	7789-10-8	416.58	red cry powder					i H2O; s acid	
1431	Mercury(II) fluoride	HgF2	7783-39-3	238.59	wh cub cry; hyg	645 dec		8.95		reac H2O	
1432	Mercury(II) fulminate	Hg(CNO)2	628-86-4	284.62	gray cry	exp		4.42		sl H2O; s EtOH, NH4OH	
1433	Mercury(II) hydrogen arsenate	HgHAsO4	7784-37-4	340.52	yel powder					i H2O; s acid	
1434	Mercury(II) iodate	Hg(IO3)2	7783-32-6	550.4	wh powder	175 dec				i H2O	
1435	Mercury(II) iodide	HgI2	7774-29-0	454.4	red tetr cry or powder	259	354	6.28	0.005525	sl EtOH, ace, eth	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
1436	Mercury(II) nitrate	Hg(NO3)2	10045-94-0	324.6	col hyg cry	79		4.3		s H2O; i EtOH	
1437	Mercury(II) nitrate dihydrate	Hg(NO3)2  2H2O	10045-94-0*	360.63	monocl cry			4.78		s H2O	
1438	Mercury(II) nitrate monohydrate	Hg(NO3)2  H2O	7783-34-8	342.62	wh-yel hyg cry			4.3		s H2O, dil acid	
1439	Mercury(II) oxalate	HgC2O4	3444-13-1	288.61	pwd	165 dec				i H2O	
1440	Mercury(II) oxide	HgO	21908-53-2	216.59	red or yel orth cry	500 dec		11.14		i H2O, EtOH; s dil acid	
1441	Mercury(II) oxide sulfate	(Hg3O2)SO4	1312-03-4	729.83	yel pow					i H2O; s acid	
1442	Mercury(II) oxycyanide	Hg(CN)2  HgO	1335-31-5	469.21	wh orth cry	exp		4.44	11.425		
1443	Mercury(II) perchlorate trihydrate	Hg(ClO4)2  3H2O	7616-83-3	453.54	cry						
1444	Mercury(II) phosphate	Hg3(PO4)2	7782-66-3	791.71	wh-yel powder					i H2O, EtOH; s acid	
1445	Mercury(II) selenide	HgSe	20601-83-6	279.55	gray cub cry		subl	8.21		i H2O	
1446	Mercury(II) sulfate	HgSO4	7783-35-9	296.65	wh monocl cry			6.47		reac H2O	
1447	Mercury(II) sulfide (black)	HgS	1344-48-5	232.66	blk cub cry or powder	850		7.7		i H2O; s acid, EtOH	
1448	Mercury(II) sulfide (red)	HgS	1344-48-5	232.66	red hex cry	trans to blk HgS 344		8.17		i H2O, acid; s aqua regia	
1449	Mercury(II) telluride	HgTe	12068-90-5	328.19	gray cub cry	673		8.63			
1450	Mercury(II) thiocyanate	Hg(SCN)2	592-85-8	316.76	monocl cry	165 dec		3.71	0.07025	s dil HCl	
1451	Mercury(II) tungstate	HgWO4	37913-38-5	448.43	yel cry	dec				i H2O, EtOH	
1452	Molybdenum	Mo	7439-98-7	95.94	gray-blk metal; cub	2622	4639	10.2		i H2O, dil acid, alk	
1453	Molybdenum boride	Mo2B	12006-99-4	202.69	refrac tetr cry	2000		9.2			
1454	Molybdenum boride	Mo2B5	12007-97-5	245.94	refrac hex cry	1600		7.2			
1455	Molybdenum carbide	MoC	12011-97-1	107.95	refrac solid; cub	2577					
1456	Molybdenum carbide	Mo2C	12069-89-5	203.89	gray orth cry	2687		9.18			
1457	Molybdenum hexacarbonyl	Mo(CO)6	13939-06-5	264	wh orth cry	148	155 dec	1.96		i H2O; s bz; sl eth	
1458	Molybdenum nitride	MoN	12033-19-1	109.95	hex cry	1750		9.2			
1459	Molybdenum nitride	Mo2N	12033-31-7	205.89	gray cub cry	790 dec		9.46			
1460	Molybdenum phosphide	MoP	12163-69-8	126.91	blk hex cry			7.34			
1461	Molybdenum silicide	MoSi2	12136-78-6	152.11	gray tetr cry	1900		6.2		i H2O; s HF	
1462	Molybdenum(II) bromide	MoBr2	13446-56-5	255.75	yel-red cry	900 dec					
1463	Molybdenum(II) chloride	MoCl2	13478-17-6	166.85	yel cry	530 dec					
1464	Molybdenum(II) iodide	MoI2	14055-74-4	349.75	blk hyg cry			5.278			
1465	Molybdenum(III) bromide	MoBr3	13446-57-6	335.65	grn hex cry	977		4.89		i H2O	
1466	Molybdenum(III) chloride	MoCl3	13478-18-7	202.3	dark red monocl cry	1027		3.74		i H2O	
1467	Molybdenum(III) fluoride	MoF3	20193-58-2	152.94	brn hex cry	>600		4.64		i H2O	
1468	Molybdenum(III) iodide	MoI3	14055-75-5	476.65	blk solid	927				i H2O	
1469	Molybdenum(III) oxide	Mo2O3	1313-29-7	239.88	gray-blk powder					i H2O; sl acid	
1470	Molybdenum(IV) bromide	MoBr4	13520-59-7	415.56	blk cry	dec				reac H2O	
1471	Molybdenum(IV) chloride	MoCl4	13320-71-3	237.75	blk cry	>170 dec				reac H2O	
1472	Molybdenum(IV) fluoride	MoF4	23412-45-5	171.93	grn cry	dec				reac H2O	
1473	Molybdenum(IV) oxide	MoO2	18868-43-4	127.94	brn-viol tetr cry	1100 dec		6.47		sl H2O	
1474	Molybdenum(IV) selenide	MoSe2	12058-18-3	253.86	gray hex cry	>1200		6.9			
1475	Molybdenum(IV) sulfide	MoS2	1317-33-5	160.07	blk powder or hex cry	1750		5.06		i H2O; s conc acid	
1476	Molybdenum(IV) telluride	MoTe2	12058-20-7	351.14	gray hex cry			7.7			
1477	Molybdenum(V) chloride	MoCl5	10241-05-1	273.2	gr-blk monocl cry; hyg	194	268	2.93		s EtOH, eth	
1478	Molybdenum(V) fluoride	MoF5	13819-84-6	190.93	yel monocl cry	67	213.6	3.5			
1479	Molybdenum(V) oxytrichloride	MoOCl3	13814-74-9	218.3	blk monocl cry	297	subl			reac H2O	
1480	Molybdenum(VI) acid monohydrate	H2MoO4  H2O	7782-91-4	179.97	wh powder			3.1		sl H2O; s alk	
											
1481	Molybdenum(VI) fluoride	MoF6	7783-77-9	209.93	wh cub cry or col liq; hyg	17.5	34	2.54		reac H2O	
1482	Molybdenum(VI) oxytetrafluoride	MoOF4	14459-59-7	187.93	volatile solid	98	186				
1483	Molybdenum(VI) oxytetrachloride	MoOCl4	13814-75-0	253.75	grn hyg powder	101					
1484	Molybdenum(VI) dioxydichloride	MoO2Cl2	13637-68-8	198.84	yel-oran solid	175		3.31		reac H2O	
1485	Molybdenum(VI) oxide	MoO3	1313-27-5	143.94	wh-yel rhomb cry	801	1155	4.7	0.142	s conc acid	
1486	Molybdenum(VI) metaphosphate	Mo(PO3)6	133863-98-6	569.77	yel powder			3.28		i H2O, acid	
1487	Neodymium	Nd	7440-00-8	144.24	silv metal; hex	1021	3074	7.01			
1488	Neodymium boride	NdB6	12008-23-0	209.11	blk cub cry	2610		4.93			
1489	Neodymium bromide	NdBr3	13536-80-6	383.95	viol orth cry; hyg	682	1540	5.3		s H2O	
1490	Neodymium chloride	NdCl3	10024-93-8	250.6	viol hex cry	758	1600	4.13	10025	vs EtOH; i eth, chl	
1491	Neodymium chloride hexahydrate	NdCl3  6H2O	13477-89-9	358.69	purp cry	124 dec		2.3	10025	s EtOH	
1492	Neodymium fluoride	NdF3	13709-42-7	201.24	viol hex cry; hyg	1377	2300	6.51		i H2O	
1493	Neodymium iodide	NdI3	13813-24-6	524.95	grn orth cry; hyg	784		5.85		s H2O	
1494	Neodymium nitrate	Nd(NO3)3	10045-95-1	330.26	viol hyg. cry				15225	s EtOH	
1495	Neodymium nitrate hexahydrate	Nd(NO3)3  6H2O	14517-29-4	438.35	purp hyg cry				15225	s EtOH, ace	
1496	Neodymium nitride	NdN	25764-11-8	158.25	blk cub cry			7.69			
1497	Neodymium oxide	Nd2O3	1313-97-9	336.48	blue hex cry; hyg	2233	3760	7.24		i H2O; s dil acid	
1498	Neodymium sulfate	Nd2(SO4)3	13477-91-3	576.67	pink needles	700 dec			7.12		
1499	Nickel(II) perchlorate hexahydrate	Ni(ClO4)2  6H2O	13637-71-3*	365.685	grn hex needles	140			158.825	s EtOH, ace	
1500	Neodymium sulfide	Nd2S3	12035-32-4	384.68	orth cry	2207		5.46			
1501	Nickel(II) phosphate octahydrate	Ni3(PO4)2  8H2O	10381-36-9*	510.145	grn plates					s acid	
1502	Nickel(II) selenate hexahydrate	NiSeO4  6H2O	15060-62-5*	309.74	grn tetr cry			2.314	35.52		
1503	Neodymium telluride	Nd2Te3	12035-35-7	671.28	gray orth cry	1377		7			
1504	Neon	Ne	7440-01-9	20.18	col gas	-248.609 tp (43 kPa)	-246.053	0.825 g/L		sl H2O	
1505	Neptunium	Np	7439-99-8	237	silv metal	644		20.2		s HCl	
1506	Neptunium(IV) oxide	NpO2	12035-79-9	269	grn cub cry	2547		11.1			
1507	Nickel	Ni	7440-02-0	58.693	wh metal; cub	1455	2913	8.9		i H2O; sl dil acid	
1508	Nickel antimonide	NiSb	12035-52-8	180.453	hex cry	1147		8.74			
1509	Nickel arsenide	NiAs	27016-75-7	133.615	hex cry	967		7.77			
1510	Nickel boride	Ni3B	12007-02-2	186.891	refrac solid	1156		8.17			
1511	Nickel boride	NiB	12007-00-0	69.504	grn refrac solid	1035		7.13			
1512	Nickel boride	Ni2B	12007-01-1	128.198	refrac solid	1125		7.9			
1513	Nickel carbonyl	Ni(CO)4	13463-39-3	170.734	col liq	-19.3	43 (exp 60)	1.31		i H2O; s EtOH, bz, ace, ctc	
1514	Nickel phosphide	Ni2P	12035-64-2	148.361	hex cry	1100		7.33			
1515	Nickel silicide	Ni2Si	12059-14-2	145.473	orth cry	1255		7.4			
1516	Nickel silicide	NiSi2	12201-89-7	114.864	cub cry	993		4.83			
1517	Nickel(II) ammonium sulfate hexahydrate	Ni(NH4)2(SO4)2  6H2O	15699-18-0	394.989	blue-grn cry			1.923	6.52	i EtOH	
1518	Nickel(II) arsenate octahydrate	Ni3(AsO4)2  8H2O	7784-48-7	598.04	yel-grn powder	dec		4.98		i H2O; s acid	
1519	Nickel(II) bromide	NiBr2	13462-88-9	218.501	yel hex cry; hyg	963	subl	5.1	13120		
1520	Nickel(II) bromide trihydrate	NiBr2  3H2O	13462-88-9*	272.547	yel-grn hyg cry	200 dec				vs H2O; s EtOH, eth	
1521	Nickel(II) carbonate	NiCO3	3333-67-3	118.702	grn rhomb cry			4.39	0.00432	s dil acid	
